City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,puerto san jose,13.9256,-90.8244,298.85,89,100,2.23,GT,1690630490
293,tuzhai,24.983,118.8319,298.81,95,100,1.55,CN,1690630490
294,santiago de cao,-7.9589,-79.2392,294.22,88,100,2.06,PE,1690630490
295,san patricio,28.017,-97.5169,300.06,80,72,1.47,US,1690630490
296,sao joao da barra,-21.6403,-41.0511,295.2,73,92,7.59,BR,1690630210
297,north bondi,-33.8824,151.2769,289.24,81,0,1.54,AU,1690630490
298,kadaura,25.9833,79.85,307.34,53,100,5.07,IN,1690630490
299,mana,5.6592,-53.7767,299.68,83,89,3.76,GF,1690630491
300,soligalich,59.0778,42.2864,296.55,83,100,1.61,RU,1690630491
301,rio gallegos,-51.6226,-69.2181,278.18,75,0,11.83,AR,1690630491
302,zmeinogorsk,51.1567,82.195,297.95,52,67,4.31,RU,1690630491
303,nabire,-3.3667,135.4833,298.67,89,90,1.75,ID,1690630491
304,chhabra,24.6667,76.8333,302.78,70,100,5.52,IN,1690630491
305,guajara mirim,-10.7828,-65.3394,296.02,64,81,2.1,BR,1690630491
306,taoudenni,22.6783,-3.9836,319.33,6,2,7.43,ML,1690630492
307,homer,59.6425,-151.5483,287.09,89,100,2.06,US,1690630492
308,pisco,-13.7,-76.2167,292.18,82,100,1.03,PE,1690630358
309,jinchang,38.4953,102.1739,303.03,25,0,9.72,CN,1690630492
310,batesville,35.7698,-91.641,299.38,79,0,1.54,US,1690630402
311,ndele,8.4109,20.6473,304.12,57,45,1.68,CF,1690630492
312,el bauga,18.262,33.9081,316.81,17,81,5.19,SD,1690630493
313,sisimiut,66.9395,-53.6735,281.38,77,68,3.78,GL,1690630493
314,kruisfontein,-34.0033,24.7314,289.75,44,94,6.67,ZA,1690630493
315,mo i rana,66.3128,14.1428,294.44,69,20,3.6,NO,1690630493
316,nellore,14.4333,79.9667,307.85,42,86,8.66,IN,1690630493
317,aswan,24.0934,32.907,316.73,11,38,7.35,EG,1690630258
318,safotu,-13.4513,-172.4018,299.65,89,99,7.67,WS,1690630493
319,posto fiscal rolim de moura,-13.0833,-62.2667,296.57,70,77,2.41,BR,1690630493
320,canto do buriti,-8.11,-42.9444,300.74,54,1,4.54,BR,1690630494
321,motygino,58.1831,94.7592,295.76,60,98,1.87,RU,1690630494
322,el porvenir,13.7617,-87.3458,296.78,93,98,2.4,HN,1690630494
323,shakawe,-18.3667,21.85,305.31,13,34,5.06,BW,1690630494
324,pocone,-16.2567,-56.6228,295.8,72,100,2.61,BR,1690630494
325,diffa,13.3154,12.6113,309.98,31,57,4.08,NE,1690630494
326,dryden,49.7833,-92.7503,284.31,93,75,2.57,CA,1690630494
327,crane,31.3974,-102.3501,296.5,51,0,4.83,US,1690630494
328,santa quiteria,-4.3319,-40.1567,302.94,45,13,3.27,BR,1690630495
329,taro,-8.3862,115.28,295.15,90,66,1.29,ID,1690630495
330,talakan,50.3167,130.3667,291.55,98,80,1.43,RU,1690630495
331,antsiranana,-12.2787,49.2917,304.57,30,20,6.17,MG,1690630495
332,al hazm,16.1641,44.7769,313.79,9,67,5.5,YE,1690630495
333,bulungu,-4.55,18.6,313.17,16,4,0.61,CD,1690630495
334,mu'minobod,38.1085,70.0285,307.5,18,27,4.48,TJ,1690630495
335,anloga,5.7947,0.8973,299.52,80,96,5.86,GH,1690630495
336,cacoal,-11.4386,-61.4472,297.37,44,85,2.58,BR,1690630495
337,pariaman,-0.619,100.12,303.18,85,99,1.74,ID,1690630496
338,namibe,-15.1961,12.1522,295.76,47,19,5.47,AO,1690630496
339,floro,61.5996,5.0328,295.19,72,20,5.14,NO,1690630496
340,xianyang,34.3378,108.7026,296.73,94,75,3.0,CN,1690630496
341,shenjiamen,29.9576,122.298,300.38,87,100,7.65,CN,1690630496
342,el calafate,-50.3408,-72.2768,276.17,93,39,2.64,AR,1690630496
343,hammerfest,70.6634,23.6821,283.4,81,75,5.14,NO,1690630496
344,northam,51.0333,-4.2167,292.25,81,15,8.79,GB,1690630496
345,nova sintra,14.8667,-24.7167,295.12,78,16,9.17,CV,1690630496
346,kimbe,-5.5502,150.1429,297.48,93,97,2.39,PG,1690630497
347,verkhneural'sk,53.8769,59.2106,304.32,30,0,3.0,RU,1690630497
348,qamdo,31.1667,97.2333,285.71,56,86,1.28,CN,1690630497
349,fisterra,42.9049,-9.2629,297.45,87,5,3.74,ES,1690630497
350,ulsteinvik,62.3432,5.8487,293.65,76,3,2.24,NO,1690630497
351,jayapura,-2.5333,140.7,298.81,89,81,3.91,ID,1690630497
352,vila franca do campo,37.7167,-25.4333,299.37,68,46,2.59,PT,1690630497
353,puerto santa,-8.9906,-78.6456,293.29,87,86,2.18,PE,1690630497
354,daday,41.4787,33.4667,301.18,22,0,1.64,TR,1690630497
355,dawei,14.0833,98.2,298.46,92,100,3.09,MM,1690630497
356,katsuren-haebaru,26.3369,127.8719,303.16,83,20,3.09,JP,1690630498
357,enewetak,11.3474,162.3373,300.61,84,100,7.3,MH,1690630498
358,howrah,22.5892,88.3103,305.15,79,40,1.54,IN,1690630498
359,luena,-11.7833,19.9167,305.91,12,0,1.48,AO,1690630498
360,port shepstone,-30.7414,30.455,294.55,78,100,8.39,ZA,1690630498
361,camocim,-2.9022,-40.8411,302.75,57,13,4.66,BR,1690630498
362,prieska,-29.6641,22.7474,286.52,37,95,10.04,ZA,1690630498
363,wanning,18.8003,110.3967,302.62,79,100,4.04,CN,1690630498
